EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 2929401960572567168,-0.043213,0.098095,105.72480489072,-20.71890521975,0.4524,0.1925,-2.08,0.168,2.353,0.209,18.97096,0.003415,1.510353,0.043337038838184794
Gaia EDR3 2929401964870370048,-0.051831,0.096908,105.71559127342,-20.72008955057,-0.1689,1.2351,-0.456,1.393,1.021,2.319,20.801683,0.009785,1.302603,0.1808140918876366
Gaia EDR3 2929401964871637376,-0.055694,0.095007,105.71146040925,-20.72198900349,-0.3451,0.9502,-2.39,0.907,5.305,1.511,20.604073,0.0072,1.621313,0.22064564797341793
Gaia EDR3 2929401964871751936,-0.042442,0.091003,105.72562766843,-20.72599675513,0.1185,0.8519,-1.966,0.702,2.353,1.028,20.490095,0.007122,1.760578,0.12578487389138557
Gaia EDR3 2929401964876807424,-0.043469,0.101399,105.72453280643,-20.71560029781,0.4626,0.0178,-5.521,0.016,1.454,0.019,13.538754,0.002762,0.791441,0.00476332565063071
Gaia EDR3 2929401964876809344,-0.04621,0.101338,105.72160224818,-20.7156608175,0.0737,0.0333,-0.546,0.03,1.429,0.036,15.886052,0.002777,1.371867,0.005607755913963629
Gaia EDR3 2929401964876812672,-0.045262,0.098428,105.72261434062,-20.71857103519,0.2171,0.0633,0.04,0.059,1.91,0.072,17.174473,0.002842,1.028986,0.008991211249634003
Gaia EDR3 2929401964876813824,-0.042233,0.093954,105.725851153,-20.72304650218,1.3959,0.2851,-1.853,0.28,3.124,0.304,17.125803,0.003161,1.089586,0.007856237556968272
Gaia EDR3 2929401994932302976,-0.037512,0.097592,105.73090030454,-20.71940948844,1.4865,0.5413,-0.587,0.622,1.842,0.926,20.189499,0.005287,1.182384,0.08592785620425736
Gaia EDR3 2929401994932309504,-0.03512,0.099526,105.73345819489,-20.71747581059,0.5115,0.5402,0.361,0.654,-1.026,1.053,20.208616,0.005485,1.060707,0.11198232381589227
Gaia EDR3 2929401994932323072,-0.027774,0.103055,105.74131297208,-20.71394799883,0.3038,0.1212,-2.327,0.109,2.024,0.135,18.32967,0.003034,1.239408,0.022798031699009097
Gaia EDR3 2929401994932326784,-0.039255,0.103855,105.72903792056,-20.71314625581,-0.6423,0.7092,-1.228,0.489,1.724,0.806,20.357529,0.005981,1.223488,0.10696028515297046
