EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 5588805410574620544,0.050275,0.007697,114.75219876823,-33.83562717392,0.8678,0.7098,-2.049,0.605,2.759,0.577,20.508293,0.007363,1.746342,0.15812004640952876
Gaia EDR3 5588805410574629760,0.055097,-0.005994,114.75801505843,-33.84931580133,0.8979,0.2727,7.71,0.253,1.623,0.259,19.549683,0.004204,2.026329,0.08063333210350841
Gaia EDR3 5588805410578434688,0.05014,0.002901,114.75203967699,-33.84042392372,-0.8593,0.5383,-1.554,0.484,0.759,0.489,20.273525,0.006509,1.192106,0.14182062415274468
Gaia EDR3 5588805410578438144,0.044692,-1.8e-05,114.74548271927,-33.84334573737,0.8991,0.4237,-2.371,0.366,4.257,0.375,19.949417,0.004962,1.196133,0.12056055455609474
Gaia EDR3 5588805410578834816,0.051449,0.005717,114.75361317715,-33.83760704818,,,,,,,20.968193,0.021168,1.13213,0.3135580350795488
Gaia EDR3 5588805410578835456,0.050513,0.004795,114.75248694884,-33.83852975773,,,,,,,20.981195,0.019938,0.895039,0.31381619689776835
Gaia EDR3 5588805410578836608,0.049407,0.004162,114.75115673022,-33.8391629907,1.4073,1.271,-2.026,1.129,1.37,1.217,20.832561,0.013612,2.204248,0.31709506104762997
Gaia EDR3 5588805410579822976,0.052994,-0.000193,114.75547853119,-33.8435164024,-0.349,0.3756,-4.663,0.339,5.66,0.343,19.865849,0.004824,1.481014,0.13884036116288112
Gaia EDR3 5588805410579827072,0.045451,-6.5e-05,114.74639665682,-33.84339270145,-0.2061,0.3509,-1.907,0.296,5.691,0.296,19.762606,0.004941,1.705599,0.09108579471245676
Gaia EDR3 5588805410583797376,0.04556,0.001705,114.74652596043,-33.84162252367,0.1072,0.0661,-1.152,0.06,1.771,0.061,17.229933,0.002872,0.967392,0.010683263284379633
Gaia EDR3 5588805410584812160,0.057682,-0.001949,114.76112386646,-33.84526923004,-0.2286,0.2464,-1.082,0.23,1.446,0.25,19.231176,0.00404,1.679768,0.14503306430477883
Gaia EDR3 5588805410584863744,0.052573,0.005139,114.75496777338,-33.8381839834,-3.1283,1.2891,-1.641,1.54,-8.545,1.385,20.49062,0.01885,1.415716,0.10013062072510782
Gaia EDR3 5588805440643158144,0.029265,-0.008369,114.72691132142,-33.85170310296,0.3762,0.1207,-2.178,0.115,4.198,0.116,18.22495,0.003061,1.299066,0.02387363278264573
Gaia EDR3 5588805440643167360,0.028077,-0.005135,114.72548022266,-33.84846971786,0.1405,0.2606,0.131,0.234,1.288,0.239,19.419043,0.004655,1.608625,0.06631382271659668
Gaia EDR3 5588805440643169024,0.039388,-0.004099,114.73909802248,-33.84742923118,0.3045,0.524,-0.061,0.417,1.377,0.448,20.224476,0.006028,1.573946,0.14341728825321046
Gaia EDR3 5588805440643171712,0.024142,-0.003409,114.72074155631,-33.84674481974,0.1434,0.1372,-0.266,0.13,1.308,0.135,18.592665,0.003231,1.834825,0.028979138675067028
Gaia EDR3 5588805440643175424,0.036735,-0.00188,114.73590358757,-33.84521126907,0.2672,0.31,-0.745,0.267,0.432,0.282,19.675297,0.004453,1.796089,0.0921356061580533
Gaia EDR3 5588805440643178496,0.039228,-0.001126,114.738904221,-33.84445612561,0.116,0.0927,-1.619,0.084,3.239,0.087,17.88091,0.00298,1.211702,0.01895710741512023
Gaia EDR3 5588805440643178624,0.028933,-0.001026,114.72650859384,-33.84436000154,-0.0956,0.1595,-1.201,0.151,3.795,0.162,18.1882,0.003613,1.42964,0.02254276396851185
Gaia EDR3 5588805440643181824,0.026497,0.000456,114.72357478639,-33.84287896629,0.6773,0.2633,0.059,0.247,0.858,0.247,19.470276,0.004065,1.916269,0.07345654872485764
Gaia EDR3 5588805440643182720,0.034536,0.000631,114.7332540054,-33.84270136987,0.384,0.216,-0.599,0.206,1.201,0.202,19.225996,0.00389,1.407135,0.04900293075234899
Gaia EDR3 5588805440643188480,0.028629,0.002291,114.72614171897,-33.84104359294,0.1883,0.1523,-0.709,0.145,2.623,0.15,18.765759,0.003262,1.31217,0.029694695858215183
Gaia EDR3 5588805440643195136,0.032133,0.004573,114.73035907796,-33.83876009042,-0.1688,0.1983,-0.622,0.188,1.366,0.184,19.109533,0.00364,0.977924,0.04007958896184845
Gaia EDR3 5588805440643198976,0.033104,0.006987,114.73152692537,-33.83634594396,0.3831,0.2864,-2.203,0.272,2.355,0.277,19.574198,0.004105,1.607862,0.05645185608297327
Gaia EDR3 5588805440645119232,0.028766,0.003413,114.72630652385,-33.83992133634,0.7212,0.4385,-0.889,0.427,0.446,0.434,20.074574,0.005602,1.58563,0.1083590291377702
Gaia EDR3 5588805444933185152,0.025369,-0.003947,114.72221851533,-33.84728220882,0.2663,1.0318,-0.129,0.879,0.623,0.92,20.754276,0.010105,1.093115,0.13420479008538885
Gaia EDR3 5588805444933186176,0.02441,-0.003081,114.72106323825,-33.84641737943,-0.0696,1.6501,0.709,1.177,3.948,1.422,20.788666,0.013013,,
Gaia EDR3 5588805444934429056,0.031795,0.002051,114.72995334979,-33.84128215717,-1.44,0.6428,-2.702,0.532,5.171,0.685,20.479477,0.007385,1.481529,0.16284545240145992
Gaia EDR3 5588805444934436992,0.030063,-0.000383,114.72786868487,-33.84371669081,-0.1447,0.2943,-0.575,0.266,1.263,0.278,19.55347,0.004239,1.555349,0.06862866683589604
Gaia EDR3 5588805444934439424,0.030865,-0.0035,114.72883622334,-33.84683425762,0.3619,0.3607,-2.855,0.313,2.789,0.332,19.649874,0.004909,1.394203,0.06353237402680244
Gaia EDR3 5588805444934451712,0.027653,-0.005226,114.72496879891,-33.84856133724,0.5563,0.2831,-0.984,0.249,0.346,0.28,19.518944,0.00469,1.551783,0.2718747241353563
Gaia EDR3 5588805444938177792,0.032189,-0.002946,114.73043054684,-33.84627905944,0.092,0.477,-2.257,0.405,4.497,0.418,20.116922,0.005414,1.597857,0.15480609823761549
Gaia EDR3 5588805444938574592,0.032138,0.005638,114.73036493928,-33.83769549598,-0.3748,0.8316,-2.274,0.653,1.667,0.713,20.598494,0.008766,1.417055,0.15606852150191686
Gaia EDR3 5588805444939570688,0.028639,-0.007553,114.72615747534,-33.85088778765,-0.8419,1.35,-2.017,1.056,1.678,1.262,20.840645,0.013226,0.95635,0.28354936326406427
Gaia EDR3 5588805444943355392,0.032856,0.002875,114.73123001169,-33.84045783717,0.0627,0.0782,-1.114,0.074,2.59,0.076,17.654236,0.003384,1.159073,0.014804768656536191
Gaia EDR3 5588805444943539200,0.035718,-0.004384,114.73468018696,-33.84771618732,0.0782,0.0213,-1.22,0.02,2.859,0.021,15.044036,0.002776,2.043264,0.005302210450163188
Gaia EDR3 5588805444943540736,0.031465,-0.004937,114.72955925954,-33.84827049762,2.4775,0.0215,-9.877,0.02,4.36,0.021,15.050799,0.002778,1.451718,0.00561340818398718
Gaia EDR3 5588805475002941056,0.048244,0.008706,114.74975303735,-33.83461988166,-0.087,0.3035,-1.83,0.284,2.495,0.284,19.681074,0.004423,1.476025,0.06631611235434928
Gaia EDR3 5588805475002949888,0.046975,0.011298,114.74822365419,-33.83202847524,0.3043,0.1382,0.082,0.134,1.979,0.143,18.586033,0.003159,1.526566,0.02573153680171494
